student_id,name,selected_subjects,status,issues
1001,Karl Thomas,"English, Life Orientation, Mathematics, Computer Applications Technology, History, Physical Sciences, Visual Arts",Invalid,Learner is not eligible for Mathematics. | Learner is not eligible for Computer Applications Technology. | Learner is not eligible for Physical Sciences. | Learner is not eligible for Visual Arts.
1002,Karl Jones,"English, Life Orientation, Mathematics, Information Technology, Visual Arts, Computer Applications Technology, Accounting",Invalid,Learner is not eligible for Visual Arts. | Learner is not eligible for Accounting.
1003,Nina Thomas,"English, Life Orientation, Mathematical Literacy, Geography, Visual Arts, Information Technology, Business Studies",Invalid,Learner is not eligible for Information Technology.
1004,Grace Moore,"English, Life Orientation, Mathematics, Visual Arts, Physical Sciences, Business Studies, Life Sciences",Invalid,Learner is not eligible for Visual Arts.
1005,Eve Miller,"English, Life Orientation, Mathematical Literacy, Accounting, Geography, Visual Arts, History",Invalid,Learner is not eligible for Accounting.
1006,Ivan Williams,"English, Life Orientation, Mathematical Literacy, Business Studies, History, Life Sciences, Accounting",Invalid,Learner is not eligible for Business Studies. | Learner is not eligible for Accounting.
1007,Charlie Anderson,"English, Life Orientation, Mathematical Literacy, Accounting, History, Physical Sciences, Business Studies",Invalid,Learner is not eligible for Accounting. | Learner is not eligible for History. | Learner is not eligible for Physical Sciences.
1008,Leo Moore,"English, Life Orientation, Mathematics, Life Sciences, Business Studies, Visual Arts, Computer Applications Technology",Valid,
1009,Nina Moore,"English, Life Orientation, Mathematical Literacy, Visual Arts, Computer Applications Technology, Life Sciences, Accounting",Invalid,Learner is not eligible for Life Sciences. | Learner is not eligible for Accounting.
1010,Karl Smith,"English, Life Orientation, Mathematics, Computer Applications Technology, Visual Arts, Accounting, Life Sciences",Invalid,Learner is not eligible for Accounting.
1011,Heidi Moore,"English, Life Orientation, Mathematics, History, Computer Applications Technology, Accounting, Information Technology",Invalid,Learner is not eligible for History. | Learner is not eligible for Information Technology.
1012,Sam Wilson,"English, Life Orientation, Mathematics, Geography, Computer Applications Technology, Life Sciences, Accounting",Invalid,Learner is not eligible for Mathematics.
1013,Trudy Garcia,"English, Life Orientation, Mathematics, Physical Sciences, Accounting, Life Sciences, Computer Applications Technology",Invalid,Learner is not eligible for Mathematics. | Learner is not eligible for Accounting.
1014,Bob Johnson,"English, Life Orientation, Mathematics, Computer Applications Technology, Geography, Accounting, Visual Arts",Invalid,Learner is not eligible for Mathematics. | Learner is not eligible for Computer Applications Technology.
1015,Karl Wilson,"English, Life Orientation, Mathematical Literacy, Information Technology, Geography, Accounting, Life Sciences",Invalid,Learner is not eligible for Information Technology. | Learner is not eligible for Accounting.
1016,Sam Anderson,"English, Life Orientation, Mathematics, Business Studies, Computer Applications Technology, Accounting, Visual Arts",Invalid,Learner is not eligible for Mathematics. | Learner is not eligible for Computer Applications Technology. | Learner is not eligible for Accounting. | Learner is not eligible for Visual Arts.
1017,Quentin Martinez,"English, Life Orientation, Mathematics, Geography, Computer Applications Technology, Business Studies, Life Sciences",Invalid,Learner is not eligible for Business Studies. | Learner is not eligible for Life Sciences.
1018,Ivan Brown,"English, Life Orientation, Mathematics, Computer Applications Technology, Visual Arts, Accounting, Information Technology",Invalid,Learner is not eligible for Mathematics. | Learner is not eligible for Computer Applications Technology. | Learner is not eligible for Accounting. | Learner is not eligible for Information Technology.
1019,Judy Wilson,"English, Life Orientation, Mathematical Literacy, History, Accounting, Information Technology, Geography",Invalid,Learner is not eligible for Information Technology.
1020,Judy Davis,"English, Life Orientation, Mathematics, Computer Applications Technology, Visual Arts, Geography, History",Invalid,Learner is not eligible for Geography. | Learner is not eligible for History.
1021,Bob Williams,"English, Life Orientation, Mathematics, Accounting, Information Technology, History, Geography",Invalid,Learner is not eligible for Information Technology.
1022,Mallory Brown,"English, Life Orientation, Mathematics, Information Technology, Physical Sciences, Life Sciences, Accounting",Invalid,Learner is not eligible for Information Technology.
1023,Ivan Hernandez,"English, Life Orientation, Mathematical Literacy, Physical Sciences, History, Visual Arts, Geography",Invalid,Learner is not eligible for Physical Sciences.
1024,Eve Jones,"English, Life Orientation, Mathematics, Geography, Information Technology, Accounting, History",Invalid,Learner is not eligible for Geography. | Learner is not eligible for Accounting. | Learner is not eligible for History.
1025,David Taylor,"English, Life Orientation, Mathematical Literacy, Accounting, Business Studies, Visual Arts, Geography",Valid,
1026,Mallory Garcia,"English, Life Orientation, Mathematics, Life Sciences, Computer Applications Technology, Physical Sciences, Geography",Invalid,Learner is not eligible for Life Sciences. | Learner is not eligible for Physical Sciences.
