student_id,name,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7
1001,Karl Thomas,English,Life Orientation,Mathematics,Computer Applications Technology,History,Physical Sciences,Visual Arts
1002,Karl Jones,English,Life Orientation,Mathematics,Information Technology,Visual Arts,Computer Applications Technology,Accounting
1003,Nina Thomas,English,Life Orientation,Mathematical Literacy,Geography,Visual Arts,Information Technology,Business Studies
1004,Grace Moore,English,Life Orientation,Mathematics,Visual Arts,Physical Sciences,Business Studies,Life Sciences
1005,Eve Miller,English,Life Orientation,Mathematical Literacy,Accounting,Geography,Visual Arts,History
1006,Ivan Williams,English,Life Orientation,Mathematical Literacy,Business Studies,History,Life Sciences,Accounting
1007,Charlie Anderson,English,Life Orientation,Mathematical Literacy,Accounting,History,Physical Sciences,Business Studies
1008,Leo Moore,English,Life Orientation,Mathematics,Life Sciences,Business Studies,Visual Arts,Computer Applications Technology
1009,Nina Moore,English,Life Orientation,Mathematical Literacy,Visual Arts,Computer Applications Technology,Life Sciences,Accounting
1010,Karl Smith,English,Life Orientation,Mathematics,Computer Applications Technology,Visual Arts,Accounting,Life Sciences
1011,Heidi Moore,English,Life Orientation,Mathematics,History,Computer Applications Technology,Accounting,Information Technology
1012,Sam Wilson,English,Life Orientation,Mathematics,Geography,Computer Applications Technology,Life Sciences,Accounting
1013,Trudy Garcia,English,Life Orientation,Mathematics,Physical Sciences,Accounting,Life Sciences,Computer Applications Technology
1014,Bob Johnson,English,Life Orientation,Mathematics,Computer Applications Technology,Geography,Accounting,Visual Arts
1015,Karl Wilson,English,Life Orientation,Mathematical Literacy,Information Technology,Geography,Accounting,Life Sciences
1016,Sam Anderson,English,Life Orientation,Mathematics,Business Studies,Computer Applications Technology,Accounting,Visual Arts
1017,Quentin Martinez,English,Life Orientation,Mathematics,Geography,Computer Applications Technology,Business Studies,Life Sciences
1018,Ivan Brown,English,Life Orientation,Mathematics,Computer Applications Technology,Visual Arts,Accounting,Information Technology
1019,Judy Wilson,English,Life Orientation,Mathematical Literacy,History,Accounting,Information Technology,Geography
