student_id,name,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7
1001,Sam Davis,English,Life Orientation,Mathematical Literacy,Accounting,Computer Applications Technology,Business Studies,Information Technology
1002,Heidi Williams,English,Life Orientation,Mathematics,Information Technology,Life Sciences,Computer Applications Technology,History
1003,Eve Jones,English,Life Orientation,Mathematics,Accounting,Computer Applications Technology,Physical Sciences,History
1004,Judy Johnson,English,Life Orientation,Mathematics,Accounting,History,Information Technology,Visual Arts
1005,Leo Williams,English,Life Orientation,Mathematical Literacy,History,Life Sciences,Physical Sciences,Visual Arts
1006,Heidi Wilson,English,Life Orientation,Mathematical Literacy,Business Studies,Visual Arts,Information Technology,History
1007,Trudy Jackson,English,Life Orientation,Mathematics,Business Studies,History,Computer Applications Technology,Physical Sciences
1008,Oscar Garcia,English,Life Orientation,Mathematical Literacy,Geography,Information Technology,Life Sciences,Visual Arts
1009,Judy Rodriguez,English,Life Orientation,Mathematical Literacy,Computer Applications Technology,Visual Arts,Life Sciences,Information Technology
1010,Trudy Garcia,English,Life Orientation,Mathematics,Life Sciences,Information Technology,History,Physical Sciences
1011,Ivan Gonzalez,English,Life Orientation,Mathematical Literacy,Business Studies,Geography,Computer Applications Technology,Visual Arts
1012,Quentin Williams,English,Life Orientation,Mathematics,Geography,History,Information Technology,Accounting
1013,Bob Lopez,English,Life Orientation,Mathematical Literacy,Physical Sciences,Computer Applications Technology,Visual Arts,Business Studies
1014,Frank Johnson,English,Life Orientation,Mathematics,Information Technology,Life Sciences,Business Studies,History
1015,Trudy Anderson,English,Life Orientation,Mathematical Literacy,Computer Applications Technology,Information Technology,Business Studies,History
1016,Alice Jackson,English,Life Orientation,Mathematical Literacy,Physical Sciences,Business Studies,Visual Arts,Geography
1017,Alice Lopez,English,Life Orientation,Mathematics,Physical Sciences,Visual Arts,Information Technology,Life Sciences
1018,Heidi Moore,English,Life Orientation,Mathematics,Geography,Business Studies,Computer Applications Technology,Accounting
1019,Peggy Garcia,English,Life Orientation,Mathematical Literacy,Geography,Visual Arts,Information Technology,Accounting
1020,Alice Moore,English,Life Orientation,Mathematics,Information Technology,Physical Sciences,History,Visual Arts
1021,Mallory Garcia,English,Life Orientation,Mathematical Literacy,Computer Applications Technology,Business Studies,Geography,History
1022,Charlie Williams,English,Life Orientation,Mathematics,Physical Sciences,Visual Arts,Computer Applications Technology,Accounting
1023,Sam Smith,English,Life Orientation,Mathematical Literacy,Computer Applications Technology,Accounting,Life Sciences,Business Studies
1024,Bob Johnson,English,Life Orientation,Mathematical Literacy,Business Studies,Visual Arts,Life Sciences,Accounting
1025,Frank Williams,English,Life Orientation,Mathematics,Computer Applications Technology,Physical Sciences,History,Geography
1026,Bob Lopez,English,Life Orientation,Mathematical Literacy,Geography,History,Visual Arts,Computer Applications Technology
1027,Eve Davis,English,Life Orientation,Mathematical Literacy,Computer Applications Technology,History,Visual Arts,Accounting
1028,Quentin Thomas,English,Life Orientation,Mathematics,Visual Arts,Life Sciences,Geography,Physical Sciences
